"species","lon","lat","database"
"Amazona vinacea",-42.985026111,-21.0954009911,"iNaturalist"
"Amazona vinacea",18.277784315,49.9854539738,"iNaturalist"
"Amazona vinacea",-54.5957404709,-25.6881516217,"iNaturalist"
"Amazona vinacea",-43.049051675,-19.0726883472,"iNaturalist"
"Amazona vinacea",-45.5702720503,-22.6666188451,"iNaturalist"
"Amazona vinacea",-49.9783487616,-27.8233986673,"iNaturalist"
"Amazona vinacea",17.8988612502,50.7688150867,"iNaturalist"
"Amazona vinacea",-53.9781733058,-26.4591869376,"iNaturalist"
"Amazona vinacea",-53.911517468,-26.5781916939,"iNaturalist"
"Amazona vinacea",-45.4417161685,-22.6688129674,"iNaturalist"
"Amazona vinacea",-50.8725652778,-29.2087220088,"iNaturalist"
"Amazona vinacea",-42.8678705808,-21.0508532092,"iNaturalist"
"Amazona vinacea",-49.8902676936,-27.9078725686,"iNaturalist"
"Amazona vinacea",-42.8518885758,-21.1318545124,"iNaturalist"
"Amazona vinacea",-49.374330341,-26.8958553283,"iNaturalist"
"Amazona vinacea",-42.6787655688,-19.4799920921,"iNaturalist"
"Amazona vinacea",-41.7851640465,-18.8275343771,"iNaturalist"
"Amazona vinacea",-41.6275236756,-18.8231552992,"iNaturalist"
"Amazona vinacea",-40.7629771932,-18.8904314604,"iNaturalist"
"Amazona vinacea",-40.7918108375,-18.8697285588,"iNaturalist"
"Amazona vinacea",-45.5213326071,-22.6743983556,"iNaturalist"
"Amazona vinacea",-42.6816746468,-19.6851089803,"iNaturalist"
"Amazona vinacea",-49.8297167642,-28.1821895494,"iNaturalist"
"Amazona vinacea",-49.9192899734,-27.8605558959,"iNaturalist"
"Amazona vinacea",-49.8095880778,-27.9923254148,"iNaturalist"
"Amazona vinacea",-42.9482839564,-21.1519122848,"iNaturalist"
"Amazona vinacea",-48.870702436,-26.7646751096,"iNaturalist"
"Amazona vinacea",-41.9478870163,-18.8871224719,"iNaturalist"
"Amazona vinacea",-49.7584224263,-23.1086072003,"iNaturalist"
"Amazona vinacea",-46.5082019361,-23.5896318131,"iNaturalist"
"Amazona vinacea",-40.8418061632,-16.2097549815,"iNaturalist"
"Amazona vinacea",-45.4914352438,-22.6913752979,"iNaturalist"
"Amazona vinacea",-54.0645116013,-26.6425182009,"iNaturalist"
"Amazona vinacea",-52.515114414,-26.5931957685,"iNaturalist"
"Amazona vinacea",-40.6835184654,-18.8114755381,"iNaturalist"
"Amazona vinacea",-50.8956796866,-29.276229879,"iNaturalist"
"Amazona vinacea",-53.8840663964,-26.5609136556,"iNaturalist"
"Amazona vinacea",-40.8907677473,-16.2749016597,"iNaturalist"
"Amazona vinacea",-50.9816730766,-29.3151971791,"iNaturalist"
"Amazona vinacea",-49.8546270947,-28.1246243236,"iNaturalist"
"Amazona vinacea",-50.8959388308,-29.3854162529,"iNaturalist"
"Amazona vinacea",-45.5586965389,-22.7588071068,"iNaturalist"
"Amazona vinacea",-50.3950529788,-29.4495229425,"iNaturalist"
"Amazona vinacea",-46.0643849028,-22.9783133214,"iNaturalist"
"Amazona vinacea",-46.1430886217,-22.8065089403,"iNaturalist"
"Amazona vinacea",-46.1954447159,-22.9797519433,"iNaturalist"
"Amazona vinacea",-53.8990438113,-26.4894883536,"iNaturalist"
"Amazona vinacea",-53.9650710912,-26.4295438646,"iNaturalist"
"Amazona vinacea",-52.4481946421,-26.55331822,"iNaturalist"
"Amazona vinacea",-41.8082812141,-18.9351523246,"iNaturalist"
"Amazona vinacea",-41.0680761265,-16.1118516227,"iNaturalist"
"Amazona vinacea",-41.0345252808,-16.2302333223,"iNaturalist"
"Amazona vinacea",-51.8703805314,-26.7913321535,"iNaturalist"
"Amazona vinacea",-40.9572917137,-16.3948446612,"iNaturalist"
"Amazona vinacea",-50.8389248735,-29.2164636022,"iNaturalist"
"Amazona vinacea",-52.0694996033,-26.6033640971,"iNaturalist"
"Amazona vinacea",-40.9628557778,-16.347561696,"iNaturalist"
"Amazona vinacea",-53.8487415933,-26.485033325,"iNaturalist"
"Amazona vinacea",-52.5229276282,-26.4467827892,"iNaturalist"
"Amazona vinacea",-44.8558550153,-23.1379649077,"iNaturalist"
"Amazona vinacea",-45.5680645732,-22.6022847297,"iNaturalist"
"Amazona vinacea",-46.1237862435,-22.8300441924,"iNaturalist"
"Amazona vinacea",-50.9532954938,-29.2701081358,"iNaturalist"
"Amazona vinacea",-50.9781862,-29.3506658092,"iNaturalist"
"Amazona vinacea",18.245954246,49.9822564406,"iNaturalist"
"Amazona vinacea",-40.9644802707,-16.3890389991,"iNaturalist"
"Amazona vinacea",-50.8456153495,-29.3164565031,"iNaturalist"
"Amazona vinacea",-54.1954769819,-26.7265516208,"iNaturalist"
"Amazona vinacea",-54.0310970479,-26.6250665319,"iNaturalist"
"Amazona vinacea",-40.9463577343,-16.2218622623,"iNaturalist"
"Amazona vinacea",-49.8529805747,-26.2297735625,"iNaturalist"
"Amazona vinacea",-52.1973942438,-25.8002891069,"iNaturalist"
"Amazona vinacea",-49.8742408073,-28.2545113959,"iNaturalist"
"Amazona vinacea",-46.1988759123,-22.8412130533,"iNaturalist"
"Amazona vinacea",-41.5434951562,-19.5415602663,"iNaturalist"
"Amazona vinacea",-50.8453127813,-26.7086053679,"iNaturalist"
"Amazona vinacea",-42.4858536941,-19.4701278897,"iNaturalist"
"Amazona vinacea",-42.4582477781,-19.5561791238,"iNaturalist"
"Amazona vinacea",-54.0879536147,-26.6989533262,"iNaturalist"
"Amazona vinacea",-49.8082780805,-27.9704584853,"iNaturalist"
"Amazona vinacea",-49.9892068151,-27.8560085098,"iNaturalist"
"Amazona vinacea",-45.439013992,-22.656456307,"iNaturalist"
"Amazona vinacea",-50.745088511,-24.2635301692,"iNaturalist"
"Amazona vinacea",-51.8224483935,-26.7530501801,"iNaturalist"
"Amazona vinacea",-51.9578374016,-26.7919006979,"iNaturalist"
"Amazona vinacea",-51.9158085473,-26.7208867164,"iNaturalist"
"Amazona vinacea",-51.9344970285,-26.6384463164,"iNaturalist"
"Amazona vinacea",-51.8057142686,-26.7967590261,"iNaturalist"
"Amazona vinacea",-40.970246445,-16.2184416423,"iNaturalist"
"Amazona vinacea",-49.8862913864,-27.8797762568,"iNaturalist"
"Amazona vinacea",-49.4325405941,-27.9149516967,"iNaturalist"
"Amazona vinacea",-45.5356895356,-22.7265077811,"iNaturalist"
"Amazona vinacea",-49.5521333846,-27.8003061377,"iNaturalist"
"Amazona vinacea",-49.4485663856,-27.9681946702,"iNaturalist"
"Amazona vinacea",-49.9070417199,-27.8125171266,"iNaturalist"
"Amazona vinacea",-49.0450275667,-25.2717199773,"iNaturalist"
"Amazona vinacea",-49.0411902676,-25.310316716,"iNaturalist"
"Amazona vinacea",-49.4243034147,-27.8714526056,"iNaturalist"
"Amazona vinacea",-49.5837076792,-27.9285619926,"iNaturalist"
"Amazona vinacea",-49.4742479082,-27.9414812404,"iNaturalist"
